brand,average_price
Mephisto,220.8135714285714
Mercanti Fiorentini,184.12
Merino,87.0
Merona,34.98
Merrell,88.2875
Metro Jewelry,58.995
Mezlan,388.22249999999997
Michael Kors,270.32666666666665
Micro Flex,23.959999999999997
Milwaukee,118.88
Minnetonka,55.375
Minnetonka Men,83.95
"Minnetonka Moccasin Company, Inc.",49.95
Mintcraft,25.740000000000002
Minx NY,28.975
Mitchell & Ness,45.0
Mitre,12.99
Mizuno,80.14450000000001
MoAndy,58.489999999999995
Moda Essentials,50.105
Modern Vintage,168.32333333333335
Moneysworth & Best,12.25
Montana Silversmiths,96.5
Montblanc,495.0
Montrail,57.97
Morphic,680.6055555555555
Morris Costumes,40.8375
Mosiso,8.49
Mossy Oak,26.02
Mountain Hardwear,95.97125
Mountain Khakis,59.115
Muck,155.07714285714286
Muck Boot,156.98
MuckBoot,131.21249999999998
Musto,541.88
My Daily Styles,18.04
My Team,12.530000000000001
My Times Jew,68.85666666666667
My Wholesale Spot,129.495
MyTime Jew,35.5
N I K E,48.98
NATIONAL SAFETY APPAREL,188.49
NATIVE,20.993333333333336
NBA,20.95
NCAA,22.986666666666665
NDS Wear,24.494999999999997
NEO,52.375
NEONBLOND,54.782
NETTAILOR,409.0
NEW BALANCE,34.067142857142855
NFL,25.107222222222223
NIKE,99.15807692307693
NIKE - Kobe,149.99
NIKE AIR JORDAN,47.99
NIKE AIR JORDAN I,69.0
NIKE Air Jordan,209.99
NIKE SB,44.99
NIXON,238.7311111111111
NORCROSS SAFETY,74.38
NUNN BUSH,38.0
Naot,55.28333333333334
National Basketball Association (NBA),11.45
National Safety Apparel Inc,196.00591836734696
Natural World,31.589999999999996
Naturalizer,69.4925
Nautica,32.435
Navali,158.9
Neff,25.95
Neil M,210.0
Nerd Optix,5.99
New Balance,74.72505586592179
New Balance Numeric,58.995000000000005
New Era,31.99
NewBalance,69.95
Newton Running,54.95
Nike,97.6631256952169
Nike Air Jordan,125.0
Nike Golf,29.994999999999997
Nike Jordan Future Low,99.99
Nike Lunarglide 7,79.99
Nike SB,81.58
Nintendo,49.47
Nitrogen,10.25
Nixon,388.0111111111111
Noble Outfitters,219.97
Nobles Health Care Products,14.985
Nocona,232.20785714285714
NorCross,36.443333333333335
Norcross Safety,17.424999999999997
Norcross Safety Prod,25.173333333333336
Norcross Safety Products,64.785
North Face,80.99333333333333
North Safety / Honeywell,112.0
North Star Gloves,5.88
Northside,15.99
Novelty Socks,13.99
Nu-Source,30.2
Nunn Bush,69.98
O'Neill,29.326666666666664
O'neal,98.99
OAKLEY,111.54
OFFICIAL LICENSE NBA,22.69
OGIO,69.7325
ONGUARD,44.18
OOFOS,54.95
OTTO:DAKOTA,17.334999999999997
OTTO:GN,16.18
OZONE,35.13181818181818
Oakley,132.9336
Ocean Pacific,7.95
Odor-Eaters,7.99
Ogio,108.391
Old Friend,58.2275
Old Gringo,417.49
Old Navy,6.01
Old Time Hockey,12.0
Old West,120.7
Oliver Sweeney,495.0
OluKai,90.38333333333333
Olympia Tools,12.99
One Golf Sports,39.841818181818184
Onitsuka Tiger,52.9775
Oofos,44.95
Op,6.7425
Original Penguin,28.79
Original S.W.A.T.,105.365
Original SWAT,94.115
Ouray,120.0
Outback Trading,27.99
Outdoor Cap,30.93
Outdoor Life,12.176666666666668
Oxigen,8.268
Ozark Trail,14.93
Ozone,20.843333333333334
P.KU.VDSL,70.99
P.W. Minor,121.495
PACCILO,453.0
PACIFIC TRAIL,55.0
PARIKHS,39.625
PF FLYERS,41.64666666666667
PF Flyers,37.995
PF-Flyers,64.99
PHAT FARM,30.9675
PIKOLINOS,107.9
POC,170.0
POLAROID,9.554
POLASPORTS,49.95
POLO Ralph Lauren,42.089999999999996
PONY,45.75
PRETTY PERSUASIONS,20.9
"PRIMESOURCE, INC.",22.505
PROTONIC,7.723333333333334
PUMA,71.47917981072555
PUMA SAFETY SHOES,122.93666666666667
Pacific Trail,19.0
Pajar,126.3
Pakems,43.371111111111105
Palladium,71.23
Panda Superstore,20.125
Patrick Ewing,72.0
Paul Green,231.995
Peak,72.21
Pearl iZUMi,144.9205681818182
Pele Sport,68.5
PerFit��,23.470000000000002
Perry Ellis,17.873333333333335
Perry Ellis Portfolio,17.94
Persol,197.0
Peter Grimm,39.95
Peter Millar,75.0
Physio Room,64.37666666666667
PiercingJ,4.545
Pikolinos,70.0
Pleaser Shoes,42.95
PleaserUSA,62.31857142857143
Plixio,12.99
Police,157.576
Polo,47.0
Polo Ralph Lauren,70.6962
Polo Ralph Lauren Golf,79.97
Polo Sport Ralph Lauren,53.99
Porsche Design,269.485
Portwest,42.56061224489797
PowerSox,21.994999999999997
Prada,271.5352941176471
Prada Sport,279.95
Primitive,18.99
Principle Plastics,29.0975
Principle Plastics Inc,27.6
Project Emotion,75.32666666666667
Propet,68.99375
Propper,118.67083333333333
Puentes Denver,14.283333333333331
Puma,70.51277777777779
Puma Safety Shoes,173.375
Puss N Boots,39.95
Pwatch,18.59
QZUnique,56.7
Quiksilver,29.465833333333332
RALPH LAUREN,128.52
RANGER BY HONEYWELL,99.80000000000001
RAVEN FIGHTWEAR,49.99
RBX,49.99
RCS,49.49
RDX,47.1775
REACTOR,349.95
RENAISSANC,19.95
REVO,135.5
RG Costumes,12.295
RJ's Fuzzies,68.55
ROYER,271.64
RUBIES,54.745000000000005
RYAN SEACREST,30.97
Radnor,54.705000000000005
Rafters,21.277142857142856
Rainbow,50.0
Rainbow Sandals,35.035
Ralph Lauren,667.4178367346939
Ralph Lauren Polo,89.99
Ralph Lauren RLX,89.0
Ralph Marlin,9.95
Randolph,219.24
Rapid Dominance,41.14
Rasco FR Mfg,57.739999999999995
Rasta Imposta,68.315
Ray Ban,136.54466666666667
Ray-Ban,132.49035714285714
RayBan,249.95
RayPants,69.08500000000001
Raywinter,34.61
Rctech,39.25666666666667
Reaction Kenneth Cole,120.0
Realtree,18.906666666666666
Red Wing,266.6333333333333
Red Wing Heritage,389.0
Red Wing Shoes,195.99
Reebok,61.032934131736525
Reebok NFL Equipment,23.0
Reef,44.26307692307692
Reef Footwear,54.99
Revo,128.698
Ride Snowboards,229.95
Rider,23.435
Ridge,84.67
Ridge Footwear,99.5
Ridge Outdoors,98.195
River City Garments,226.75
Roadmate Boot Co.,111.95
Roamer of Switzerland,460.17555555555555
Robert Graham,147.32666666666668
Robert Wayne,74.98916666666666
Rocawear,21.73375
Rock & Republic,16.99
Rock Revival,107.69411764705882
Rockport,75.4925
Rockport Works,133.0
Rocky,142.61517241379312
Rod Patrick,400.32666666666665
Roebuck Co.,38.44714285714286
Roper,87.06777777777778
Rossi,137.0
Rothco,27.80416666666667
Roundtree & Yorke,19.95
Route 66,21.915
Royce Too Llc,40.875
Rubie's,28.89625
Rubie's Costumes,67.24380952380952
Rubies,49.417
Rubik's Cube,36.45
Rugged Blue,13.46
Rugged Shark,73.28333333333335
Rush by Gordon Rush,53.99
Rycore,23.25
S.E.G,134.96833333333333
SA,20.26
